"replicates","intercept","slope","Species","C_th","C_th_up"
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
1,-10.43,2.3,"Psefar",0.2289293252107,5.53168998832138
2,-10.43,2.3,"Psefar",-0.0724444491146754,5.56110281421792
3,-10.43,2.3,"Psefar",-0.248735438179628,5.57742876053706
4,-10.43,2.3,"Psefar",-0.37381550592426,5.58865133095837
5,-10.43,2.3,"Psefar",-0.470834984762586,5.59716102507933
6,-10.43,2.3,"Psefar",-0.550105589163695,5.60399240078709
7,-10.43,2.3,"Psefar",-0.61712788267397,5.60968566931274
8,-10.43,2.3,"Psefar",-0.675185204004416,5.61455785281958
9,-10.43,2.3,"Psefar",-0.726395370470256,5.61881056720817
10,-10.43,2.3,"Psefar",-0.772204411094963,5.62257981988204
1,-10.96,2.41,"Psefar",0.438397281321416,5.49912322536895
2,-10.96,2.41,"Psefar",0.150779156446576,5.52719355713743
3,-10.96,2.41,"Psefar",-0.0174653559390637,5.54277433578226
4,-10.96,2.41,"Psefar",-0.136836374948463,5.55348467269886
5,-10.96,2.41,"Psefar",-0.229427578819065,5.56160595754459
6,-10.96,2.41,"Psefar",-0.305080022853318,5.56812552772212
7,-10.96,2.41,"Psefar",-0.369043207531174,5.57355893751839
8,-10.96,2.41,"Psefar",-0.42445060963077,5.57820873920541
9,-10.96,2.41,"Psefar",-0.473323382606468,5.58226734629826
10,-10.96,2.41,"Psefar",-0.517041554157018,5.58586455839364
