"replicates","intercept","slope","Species","C_th","C_th_up"
8,-10.28,2.31,"Colper",-0.737197389268467,5.52531734263421
9,-10.28,2.31,"Colper",-0.788185866701987,5.52955164700381
10,-10.28,2.31,"Colper",-0.833796599791521,5.53330458256653
1,-10.28,2.21,"Colper",0.170378935739643,5.68908912811727
2,-10.28,2.21,"Colper",-0.143267978716631,5.71969976140326
3,-10.28,2.21,"Colper",-0.326738238829477,5.73669056526482
4,-10.28,2.21,"Colper",-0.456912064989049,5.74837016344084
5,-10.28,2.21,"Colper",-0.557882563327578,5.75722640619115
6,-10.28,2.21,"Colper",-0.640381382387555,5.7643359827196
7,-10.28,2.21,"Colper",-0.71013309056567,5.77026110380964
8,-10.28,2.21,"Colper",-0.770554737199166,5.77533170202943
9,-10.28,2.21,"Colper",-0.82385038555728,5.77975760388181
10,-10.28,2.21,"Colper",-0.871524952723264,5.78368035553334
1,-10.28,2.31,"Colper",0.163003224235762,5.44280821348016
2,-10.28,2.31,"Colper",-0.137065901715911,5.47209371112606
3,-10.28,2.31,"Colper",-0.312593726326037,5.48834898235292
4,-10.28,2.31,"Colper",-0.43713232191593,5.49952297021829
5,-10.28,2.31,"Colper",-0.533731803010367,5.50799582583656
6,-10.28,2.31,"Colper",-0.61265924462186,5.51479762848931
7,-10.28,2.31,"Colper",-0.67939139833339,5.52046625083087
8,-10.28,2.31,"Colper",-0.737197389268467,5.52531734263421
9,-10.28,2.31,"Colper",-0.788185866701987,5.52955164700381
10,-10.28,2.31,"Colper",-0.833796599791521,5.53330458256653
1,-10.28,2.21,"Colper",0.170378935739643,5.68908912811727
2,-10.28,2.21,"Colper",-0.143267978716631,5.71969976140326
3,-10.28,2.21,"Colper",-0.326738238829477,5.73669056526482
4,-10.28,2.21,"Colper",-0.456912064989049,5.74837016344084
5,-10.28,2.21,"Colper",-0.557882563327578,5.75722640619115
6,-10.28,2.21,"Colper",-0.640381382387555,5.7643359827196
7,-10.28,2.21,"Colper",-0.71013309056567,5.77026110380964
8,-10.28,2.21,"Colper",-0.770554737199166,5.77533170202943
9,-10.28,2.21,"Colper",-0.82385038555728,5.77975760388181
10,-10.28,2.21,"Colper",-0.871524952723264,5.78368035553334
1,-10.28,2.31,"Colper",0.163003224235762,5.44280821348016
2,-10.28,2.31,"Colper",-0.137065901715911,5.47209371112606
3,-10.28,2.31,"Colper",-0.312593726326037,5.48834898235292
4,-10.28,2.31,"Colper",-0.43713232191593,5.49952297021829
5,-10.28,2.31,"Colper",-0.533731803010367,5.50799582583656
6,-10.28,2.31,"Colper",-0.61265924462186,5.51479762848931
7,-10.28,2.31,"Colper",-0.67939139833339,5.52046625083087
8,-10.28,2.31,"Colper",-0.737197389268467,5.52531734263421
9,-10.28,2.31,"Colper",-0.788185866701987,5.52955164700381
10,-10.28,2.31,"Colper",-0.833796599791521,5.53330458256653
1,-10.28,2.21,"Colper",0.170378935739643,5.68908912811727
2,-10.28,2.21,"Colper",-0.143267978716631,5.71969976140326
3,-10.28,2.21,"Colper",-0.326738238829477,5.73669056526482
4,-10.28,2.21,"Colper",-0.456912064989049,5.74837016344084
5,-10.28,2.21,"Colper",-0.557882563327578,5.75722640619115
6,-10.28,2.21,"Colper",-0.640381382387555,5.7643359827196
7,-10.28,2.21,"Colper",-0.71013309056567,5.77026110380964
8,-10.28,2.21,"Colper",-0.770554737199166,5.77533170202943
9,-10.28,2.21,"Colper",-0.82385038555728,5.77975760388181
10,-10.28,2.21,"Colper",-0.871524952723264,5.78368035553334
1,-10.28,2.31,"Colper",0.163003224235762,5.44280821348016
2,-10.28,2.31,"Colper",-0.137065901715911,5.47209371112606
3,-10.28,2.31,"Colper",-0.312593726326037,5.48834898235292
4,-10.28,2.31,"Colper",-0.43713232191593,5.49952297021829
5,-10.28,2.31,"Colper",-0.533731803010367,5.50799582583656
6,-10.28,2.31,"Colper",-0.61265924462186,5.51479762848931
7,-10.28,2.31,"Colper",-0.67939139833339,5.52046625083087
8,-10.28,2.31,"Colper",-0.737197389268467,5.52531734263421
9,-10.28,2.31,"Colper",-0.788185866701987,5.52955164700381
10,-10.28,2.31,"Colper",-0.833796599791521,5.53330458256653
1,-10.28,2.21,"Colper",0.170378935739643,5.68908912811727
2,-10.28,2.21,"Colper",-0.143267978716631,5.71969976140326
3,-10.28,2.21,"Colper",-0.326738238829477,5.73669056526482
4,-10.28,2.21,"Colper",-0.456912064989049,5.74837016344084
5,-10.28,2.21,"Colper",-0.557882563327578,5.75722640619115
6,-10.28,2.21,"Colper",-0.640381382387555,5.7643359827196
7,-10.28,2.21,"Colper",-0.71013309056567,5.77026110380964
8,-10.28,2.21,"Colper",-0.770554737199166,5.77533170202943
9,-10.28,2.21,"Colper",-0.82385038555728,5.77975760388181
10,-10.28,2.21,"Colper",-0.871524952723264,5.78368035553334
1,-10.28,2.31,"Colper",0.163003224235762,5.44280821348016
2,-10.28,2.31,"Colper",-0.137065901715911,5.47209371112606
3,-10.28,2.31,"Colper",-0.312593726326037,5.48834898235292
4,-10.28,2.31,"Colper",-0.43713232191593,5.49952297021829
5,-10.28,2.31,"Colper",-0.533731803010367,5.50799582583656
6,-10.28,2.31,"Colper",-0.61265924462186,5.51479762848931
7,-10.28,2.31,"Colper",-0.67939139833339,5.52046625083087
8,-10.28,2.31,"Colper",-0.737197389268467,5.52531734263421
9,-10.28,2.31,"Colper",-0.788185866701987,5.52955164700381
10,-10.28,2.31,"Colper",-0.833796599791521,5.53330458256653
1,-10.28,2.21,"Colper",0.170378935739643,5.68908912811727
2,-10.28,2.21,"Colper",-0.143267978716631,5.71969976140326
3,-10.28,2.21,"Colper",-0.326738238829477,5.73669056526482
4,-10.28,2.21,"Colper",-0.456912064989049,5.74837016344084
5,-10.28,2.21,"Colper",-0.557882563327578,5.75722640619115
6,-10.28,2.21,"Colper",-0.640381382387555,5.7643359827196
7,-10.28,2.21,"Colper",-0.71013309056567,5.77026110380964
8,-10.28,2.21,"Colper",-0.770554737199166,5.77533170202943
9,-10.28,2.21,"Colper",-0.82385038555728,5.77975760388181
10,-10.28,2.21,"Colper",-0.871524952723264,5.78368035553334
1,-10.28,2.31,"Colper",0.163003224235762,5.44280821348016
2,-10.28,2.31,"Colper",-0.137065901715911,5.47209371112606
3,-10.28,2.31,"Colper",-0.312593726326037,5.48834898235292
4,-10.28,2.31,"Colper",-0.43713232191593,5.49952297021829
5,-10.28,2.31,"Colper",-0.533731803010367,5.50799582583656
6,-10.28,2.31,"Colper",-0.61265924462186,5.51479762848931
7,-10.28,2.31,"Colper",-0.67939139833339,5.52046625083087
8,-10.28,2.31,"Colper",-0.737197389268467,5.52531734263421
9,-10.28,2.31,"Colper",-0.788185866701987,5.52955164700381
10,-10.28,2.31,"Colper",-0.833796599791521,5.53330458256653
1,-10.28,2.21,"Colper",0.170378935739643,5.68908912811727
2,-10.28,2.21,"Colper",-0.143267978716631,5.71969976140326
3,-10.28,2.21,"Colper",-0.326738238829477,5.73669056526482
4,-10.28,2.21,"Colper",-0.456912064989049,5.74837016344084
5,-10.28,2.21,"Colper",-0.557882563327578,5.75722640619115
6,-10.28,2.21,"Colper",-0.640381382387555,5.7643359827196
7,-10.28,2.21,"Colper",-0.71013309056567,5.77026110380964
8,-10.28,2.21,"Colper",-0.770554737199166,5.77533170202943
9,-10.28,2.21,"Colper",-0.82385038555728,5.77975760388181
10,-10.28,2.21,"Colper",-0.871524952723264,5.78368035553334
1,-10.28,2.31,"Colper",0.163003224235762,5.44280821348016
2,-10.28,2.31,"Colper",-0.137065901715911,5.47209371112606
3,-10.28,2.31,"Colper",-0.312593726326037,5.48834898235292
4,-10.28,2.31,"Colper",-0.43713232191593,5.49952297021829
5,-10.28,2.31,"Colper",-0.533731803010367,5.50799582583656
6,-10.28,2.31,"Colper",-0.61265924462186,5.51479762848931
7,-10.28,2.31,"Colper",-0.67939139833339,5.52046625083087
8,-10.28,2.31,"Colper",-0.737197389268467,5.52531734263421
9,-10.28,2.31,"Colper",-0.788185866701987,5.52955164700381
10,-10.28,2.31,"Colper",-0.833796599791521,5.53330458256653
1,-10.28,2.21,"Colper",0.170378935739643,5.68908912811727
2,-10.28,2.21,"Colper",-0.143267978716631,5.71969976140326
3,-10.28,2.21,"Colper",-0.326738238829477,5.73669056526482
4,-10.28,2.21,"Colper",-0.456912064989049,5.74837016344084
5,-10.28,2.21,"Colper",-0.557882563327578,5.75722640619115
6,-10.28,2.21,"Colper",-0.640381382387555,5.7643359827196
7,-10.28,2.21,"Colper",-0.71013309056567,5.77026110380964
8,-10.28,2.21,"Colper",-0.770554737199166,5.77533170202943
9,-10.28,2.21,"Colper",-0.82385038555728,5.77975760388181
10,-10.28,2.21,"Colper",-0.871524952723264,5.78368035553334
1,-10.28,2.31,"Colper",0.163003224235762,5.44280821348016
2,-10.28,2.31,"Colper",-0.137065901715911,5.47209371112606
3,-10.28,2.31,"Colper",-0.312593726326037,5.48834898235292
4,-10.28,2.31,"Colper",-0.43713232191593,5.49952297021829
5,-10.28,2.31,"Colper",-0.533731803010367,5.50799582583656
6,-10.28,2.31,"Colper",-0.61265924462186,5.51479762848931
7,-10.28,2.31,"Colper",-0.67939139833339,5.52046625083087
8,-10.28,2.31,"Colper",-0.737197389268467,5.52531734263421
9,-10.28,2.31,"Colper",-0.788185866701987,5.52955164700381
10,-10.28,2.31,"Colper",-0.833796599791521,5.53330458256653
1,-10.28,2.21,"Colper",0.170378935739643,5.68908912811727
2,-10.28,2.21,"Colper",-0.143267978716631,5.71969976140326
3,-10.28,2.21,"Colper",-0.326738238829477,5.73669056526482
4,-10.28,2.21,"Colper",-0.456912064989049,5.74837016344084
5,-10.28,2.21,"Colper",-0.557882563327578,5.75722640619115
6,-10.28,2.21,"Colper",-0.640381382387555,5.7643359827196
7,-10.28,2.21,"Colper",-0.71013309056567,5.77026110380964
8,-10.28,2.21,"Colper",-0.770554737199166,5.77533170202943
9,-10.28,2.21,"Colper",-0.82385038555728,5.77975760388181
10,-10.28,2.21,"Colper",-0.871524952723264,5.78368035553334
1,-10.28,2.31,"Colper",0.163003224235762,5.44280821348016
2,-10.28,2.31,"Colper",-0.137065901715911,5.47209371112606
3,-10.28,2.31,"Colper",-0.312593726326037,5.48834898235292
4,-10.28,2.31,"Colper",-0.43713232191593,5.49952297021829
5,-10.28,2.31,"Colper",-0.533731803010367,5.50799582583656
6,-10.28,2.31,"Colper",-0.61265924462186,5.51479762848931
7,-10.28,2.31,"Colper",-0.67939139833339,5.52046625083087
8,-10.28,2.31,"Colper",-0.737197389268467,5.52531734263421
9,-10.28,2.31,"Colper",-0.788185866701987,5.52955164700381
10,-10.28,2.31,"Colper",-0.833796599791521,5.53330458256653
1,-10.28,2.21,"Colper",0.170378935739643,5.68908912811727
2,-10.28,2.21,"Colper",-0.143267978716631,5.71969976140326
3,-10.28,2.21,"Colper",-0.326738238829477,5.73669056526482
4,-10.28,2.21,"Colper",-0.456912064989049,5.74837016344084
5,-10.28,2.21,"Colper",-0.557882563327578,5.75722640619115
6,-10.28,2.21,"Colper",-0.640381382387555,5.7643359827196
7,-10.28,2.21,"Colper",-0.71013309056567,5.77026110380964
8,-10.28,2.21,"Colper",-0.770554737199166,5.77533170202943
9,-10.28,2.21,"Colper",-0.82385038555728,5.77975760388181
10,-10.28,2.21,"Colper",-0.871524952723264,5.78368035553334
1,-10.28,2.31,"Colper",0.163003224235762,5.44280821348016
2,-10.28,2.31,"Colper",-0.137065901715911,5.47209371112606
3,-10.28,2.31,"Colper",-0.312593726326037,5.48834898235292
4,-10.28,2.31,"Colper",-0.43713232191593,5.49952297021829
5,-10.28,2.31,"Colper",-0.533731803010367,5.50799582583656
6,-10.28,2.31,"Colper",-0.61265924462186,5.51479762848931
7,-10.28,2.31,"Colper",-0.67939139833339,5.52046625083087
8,-10.28,2.31,"Colper",-0.737197389268467,5.52531734263421
9,-10.28,2.31,"Colper",-0.788185866701987,5.52955164700381
10,-10.28,2.31,"Colper",-0.833796599791521,5.53330458256653
1,-10.28,2.21,"Colper",0.170378935739643,5.68908912811727
2,-10.28,2.21,"Colper",-0.143267978716631,5.71969976140326
3,-10.28,2.21,"Colper",-0.326738238829477,5.73669056526482
4,-10.28,2.21,"Colper",-0.456912064989049,5.74837016344084
5,-10.28,2.21,"Colper",-0.557882563327578,5.75722640619115
6,-10.28,2.21,"Colper",-0.640381382387555,5.7643359827196
7,-10.28,2.21,"Colper",-0.71013309056567,5.77026110380964
8,-10.28,2.21,"Colper",-0.770554737199166,5.77533170202943
9,-10.28,2.21,"Colper",-0.82385038555728,5.77975760388181
10,-10.28,2.21,"Colper",-0.871524952723264,5.78368035553334
1,-10.28,2.31,"Colper",0.163003224235762,5.44280821348016
2,-10.28,2.31,"Colper",-0.137065901715911,5.47209371112606
3,-10.28,2.31,"Colper",-0.312593726326037,5.48834898235292
4,-10.28,2.31,"Colper",-0.43713232191593,5.49952297021829
5,-10.28,2.31,"Colper",-0.533731803010367,5.50799582583656
6,-10.28,2.31,"Colper",-0.61265924462186,5.51479762848931
7,-10.28,2.31,"Colper",-0.67939139833339,5.52046625083087
8,-10.28,2.31,"Colper",-0.737197389268467,5.52531734263421
9,-10.28,2.31,"Colper",-0.788185866701987,5.52955164700381
10,-10.28,2.31,"Colper",-0.833796599791521,5.53330458256653
1,-10.28,2.21,"Colper",0.170378935739643,5.68908912811727
2,-10.28,2.21,"Colper",-0.143267978716631,5.71969976140326
3,-10.28,2.21,"Colper",-0.326738238829477,5.73669056526482
4,-10.28,2.21,"Colper",-0.456912064989049,5.74837016344084
5,-10.28,2.21,"Colper",-0.557882563327578,5.75722640619115
6,-10.28,2.21,"Colper",-0.640381382387555,5.7643359827196
7,-10.28,2.21,"Colper",-0.71013309056567,5.77026110380964
8,-10.28,2.21,"Colper",-0.770554737199166,5.77533170202943
9,-10.28,2.21,"Colper",-0.82385038555728,5.77975760388181
10,-10.28,2.21,"Colper",-0.871524952723264,5.78368035553334
1,-10.28,2.31,"Colper",0.163003224235762,5.44280821348016
2,-10.28,2.31,"Colper",-0.137065901715911,5.47209371112606
3,-10.28,2.31,"Colper",-0.312593726326037,5.48834898235292
4,-10.28,2.31,"Colper",-0.43713232191593,5.49952297021829
5,-10.28,2.31,"Colper",-0.533731803010367,5.50799582583656
6,-10.28,2.31,"Colper",-0.61265924462186,5.51479762848931
7,-10.28,2.31,"Colper",-0.67939139833339,5.52046625083087
8,-10.28,2.31,"Colper",-0.737197389268467,5.52531734263421
9,-10.28,2.31,"Colper",-0.788185866701987,5.52955164700381
10,-10.28,2.31,"Colper",-0.833796599791521,5.53330458256653
1,-10.28,2.21,"Colper",0.170378935739643,5.68908912811727
2,-10.28,2.21,"Colper",-0.143267978716631,5.71969976140326
3,-10.28,2.21,"Colper",-0.326738238829477,5.73669056526482
4,-10.28,2.21,"Colper",-0.456912064989049,5.74837016344084
5,-10.28,2.21,"Colper",-0.557882563327578,5.75722640619115
6,-10.28,2.21,"Colper",-0.640381382387555,5.7643359827196
7,-10.28,2.21,"Colper",-0.71013309056567,5.77026110380964
8,-10.28,2.21,"Colper",-0.770554737199166,5.77533170202943
9,-10.28,2.21,"Colper",-0.82385038555728,5.77975760388181
10,-10.28,2.21,"Colper",-0.871524952723264,5.78368035553334
1,-10.28,2.31,"Colper",0.163003224235762,5.44280821348016
2,-10.28,2.31,"Colper",-0.137065901715911,5.47209371112606
3,-10.28,2.31,"Colper",-0.312593726326037,5.48834898235292
4,-10.28,2.31,"Colper",-0.43713232191593,5.49952297021829
5,-10.28,2.31,"Colper",-0.533731803010367,5.50799582583656
6,-10.28,2.31,"Colper",-0.61265924462186,5.51479762848931
7,-10.28,2.31,"Colper",-0.67939139833339,5.52046625083087
8,-10.28,2.31,"Colper",-0.737197389268467,5.52531734263421
9,-10.28,2.31,"Colper",-0.788185866701987,5.52955164700381
10,-10.28,2.31,"Colper",-0.833796599791521,5.53330458256653
1,-10.28,2.21,"Colper",0.170378935739643,5.68908912811727
2,-10.28,2.21,"Colper",-0.143267978716631,5.71969976140326
3,-10.28,2.21,"Colper",-0.326738238829477,5.73669056526482
4,-10.28,2.21,"Colper",-0.456912064989049,5.74837016344084
5,-10.28,2.21,"Colper",-0.557882563327578,5.75722640619115
6,-10.28,2.21,"Colper",-0.640381382387555,5.7643359827196
7,-10.28,2.21,"Colper",-0.71013309056567,5.77026110380964
8,-10.28,2.21,"Colper",-0.770554737199166,5.77533170202943
9,-10.28,2.21,"Colper",-0.82385038555728,5.77975760388181
10,-10.28,2.21,"Colper",-0.871524952723264,5.78368035553334
1,-10.28,2.31,"Colper",0.163003224235762,5.44280821348016
2,-10.28,2.31,"Colper",-0.137065901715911,5.47209371112606
3,-10.28,2.31,"Colper",-0.312593726326037,5.48834898235292
4,-10.28,2.31,"Colper",-0.43713232191593,5.49952297021829
5,-10.28,2.31,"Colper",-0.533731803010367,5.50799582583656
6,-10.28,2.31,"Colper",-0.61265924462186,5.51479762848931
7,-10.28,2.31,"Colper",-0.67939139833339,5.52046625083087
8,-10.28,2.31,"Colper",-0.737197389268467,5.52531734263421
9,-10.28,2.31,"Colper",-0.788185866701987,5.52955164700381
10,-10.28,2.31,"Colper",-0.833796599791521,5.53330458256653
1,-10.28,2.21,"Colper",0.170378935739643,5.68908912811727
2,-10.28,2.21,"Colper",-0.143267978716631,5.71969976140326
3,-10.28,2.21,"Colper",-0.326738238829477,5.73669056526482
4,-10.28,2.21,"Colper",-0.456912064989049,5.74837016344084
5,-10.28,2.21,"Colper",-0.557882563327578,5.75722640619115
6,-10.28,2.21,"Colper",-0.640381382387555,5.7643359827196
7,-10.28,2.21,"Colper",-0.71013309056567,5.77026110380964
8,-10.28,2.21,"Colper",-0.770554737199166,5.77533170202943
9,-10.28,2.21,"Colper",-0.82385038555728,5.77975760388181
10,-10.28,2.21,"Colper",-0.871524952723264,5.78368035553334
1,-10.28,2.31,"Colper",0.163003224235762,5.44280821348016
2,-10.28,2.31,"Colper",-0.137065901715911,5.47209371112606
3,-10.28,2.31,"Colper",-0.312593726326037,5.48834898235292
