"replicates","intercept","slope","Species","C_th","C_th_up"
3,-8.64,1.71,"Myaare",-1.38134006304862,6.45502113990365
4,-8.64,1.71,"Myaare",-1.54957641147707,6.47011582526565
5,-8.64,1.71,"Myaare",-1.68007044734149,6.4815616126798
6,-8.64,1.71,"Myaare",-1.78669172811491,6.49075001275457
7,-8.64,1.71,"Myaare",-1.87683867260242,6.49840762539141
8,-8.64,1.71,"Myaare",-1.95492746737436,6.50496085466961
9,-8.64,1.71,"Myaare",-2.0238066386442,6.51068087987064
10,-8.64,1.71,"Myaare",-2.08542113773007,6.51575063492905
1,-9.75,2.23,"Myaare",-0.0688172878992777,5.40039774580232
2,-9.75,2.23,"Myaare",-0.379651225544284,5.43073384426063
3,-9.75,2.23,"Myaare",-0.561476012472262,5.44757226423105
4,-9.75,2.23,"Myaare",-0.690482360370312,5.45914711264765
5,-9.75,2.23,"Myaare",-0.790547293701321,5.46792392721186
6,-9.75,2.23,"Myaare",-0.872306213038788,5.47496974072211
7,-9.75,2.23,"Myaare",-0.941432345358803,5.4808417217127
8,-9.75,2.23,"Myaare",-1.00131209381621,5.48586684371526
9,-9.75,2.23,"Myaare",-1.05412975429668,5.49025305138063
10,-9.75,2.23,"Myaare",-1.10137674686924,5.494140621403
1,-10.93,2.37,"Myaare",0.433138163706587,5.57927720385619
2,-10.93,2.37,"Myaare",0.140665724487868,5.6078212964984
3,-10.93,2.37,"Myaare",-0.0304183577270653,5.62366504187141
4,-10.93,2.37,"Myaare",-0.151804077479239,5.63455614396804
5,-10.93,2.37,"Myaare",-0.245958002090273,5.64281449691243
6,-10.93,2.37,"Myaare",-0.322887280622995,5.64944410202967
7,-10.93,2.37,"Myaare",-0.387930012721574,5.65496921494486
8,-10.93,2.37,"Myaare",-0.444272560848168,5.65969749429748
9,-10.93,2.37,"Myaare",-0.493970190751725,5.6638246010881
10,-10.93,2.37,"Myaare",-0.538426221737727,5.66748252562392
1,-8.64,1.71,"Myaare",-0.738866989482683,6.39350115388256
2,-8.64,1.71,"Myaare",-1.14422352804898,6.43306226473755
3,-8.64,1.71,"Myaare",-1.38134006304862,6.45502113990365
4,-8.64,1.71,"Myaare",-1.54957641147707,6.47011582526565
5,-8.64,1.71,"Myaare",-1.68007044734149,6.4815616126798
6,-8.64,1.71,"Myaare",-1.78669172811491,6.49075001275457
7,-8.64,1.71,"Myaare",-1.87683867260242,6.49840762539141
8,-8.64,1.71,"Myaare",-1.95492746737436,6.50496085466961
9,-8.64,1.71,"Myaare",-2.0238066386442,6.51068087987064
10,-8.64,1.71,"Myaare",-2.08542113773007,6.51575063492905
1,-9.75,2.23,"Myaare",-0.0688172878992777,5.40039774580232
2,-9.75,2.23,"Myaare",-0.379651225544284,5.43073384426063
3,-9.75,2.23,"Myaare",-0.561476012472262,5.44757226423105
4,-9.75,2.23,"Myaare",-0.690482360370312,5.45914711264765
5,-9.75,2.23,"Myaare",-0.790547293701321,5.46792392721186
6,-9.75,2.23,"Myaare",-0.872306213038788,5.47496974072211
7,-9.75,2.23,"Myaare",-0.941432345358803,5.4808417217127
8,-9.75,2.23,"Myaare",-1.00131209381621,5.48586684371526
9,-9.75,2.23,"Myaare",-1.05412975429668,5.49025305138063
10,-9.75,2.23,"Myaare",-1.10137674686924,5.494140621403
1,-10.93,2.37,"Myaare",0.433138163706587,5.57927720385619
2,-10.93,2.37,"Myaare",0.140665724487868,5.6078212964984
3,-10.93,2.37,"Myaare",-0.0304183577270653,5.62366504187141
4,-10.93,2.37,"Myaare",-0.151804077479239,5.63455614396804
5,-10.93,2.37,"Myaare",-0.245958002090273,5.64281449691243
6,-10.93,2.37,"Myaare",-0.322887280622995,5.64944410202967
7,-10.93,2.37,"Myaare",-0.387930012721574,5.65496921494486
8,-10.93,2.37,"Myaare",-0.444272560848168,5.65969749429748
9,-10.93,2.37,"Myaare",-0.493970190751725,5.6638246010881
10,-10.93,2.37,"Myaare",-0.538426221737727,5.66748252562392
1,-8.64,1.71,"Myaare",-0.738866989482683,6.39350115388256
2,-8.64,1.71,"Myaare",-1.14422352804898,6.43306226473755
3,-8.64,1.71,"Myaare",-1.38134006304862,6.45502113990365
4,-8.64,1.71,"Myaare",-1.54957641147707,6.47011582526565
5,-8.64,1.71,"Myaare",-1.68007044734149,6.4815616126798
6,-8.64,1.71,"Myaare",-1.78669172811491,6.49075001275457
7,-8.64,1.71,"Myaare",-1.87683867260242,6.49840762539141
8,-8.64,1.71,"Myaare",-1.95492746737436,6.50496085466961
9,-8.64,1.71,"Myaare",-2.0238066386442,6.51068087987064
10,-8.64,1.71,"Myaare",-2.08542113773007,6.51575063492905
1,-9.75,2.23,"Myaare",-0.0688172878992777,5.40039774580232
2,-9.75,2.23,"Myaare",-0.379651225544284,5.43073384426063
3,-9.75,2.23,"Myaare",-0.561476012472262,5.44757226423105
4,-9.75,2.23,"Myaare",-0.690482360370312,5.45914711264765
5,-9.75,2.23,"Myaare",-0.790547293701321,5.46792392721186
6,-9.75,2.23,"Myaare",-0.872306213038788,5.47496974072211
7,-9.75,2.23,"Myaare",-0.941432345358803,5.4808417217127
8,-9.75,2.23,"Myaare",-1.00131209381621,5.48586684371526
9,-9.75,2.23,"Myaare",-1.05412975429668,5.49025305138063
10,-9.75,2.23,"Myaare",-1.10137674686924,5.494140621403
1,-10.93,2.37,"Myaare",0.433138163706587,5.57927720385619
2,-10.93,2.37,"Myaare",0.140665724487868,5.6078212964984
3,-10.93,2.37,"Myaare",-0.0304183577270653,5.62366504187141
4,-10.93,2.37,"Myaare",-0.151804077479239,5.63455614396804
5,-10.93,2.37,"Myaare",-0.245958002090273,5.64281449691243
6,-10.93,2.37,"Myaare",-0.322887280622995,5.64944410202967
7,-10.93,2.37,"Myaare",-0.387930012721574,5.65496921494486
8,-10.93,2.37,"Myaare",-0.444272560848168,5.65969749429748
9,-10.93,2.37,"Myaare",-0.493970190751725,5.6638246010881
10,-10.93,2.37,"Myaare",-0.538426221737727,5.66748252562392
1,-8.64,1.71,"Myaare",-0.738866989482683,6.39350115388256
2,-8.64,1.71,"Myaare",-1.14422352804898,6.43306226473755
3,-8.64,1.71,"Myaare",-1.38134006304862,6.45502113990365
4,-8.64,1.71,"Myaare",-1.54957641147707,6.47011582526565
5,-8.64,1.71,"Myaare",-1.68007044734149,6.4815616126798
6,-8.64,1.71,"Myaare",-1.78669172811491,6.49075001275457
7,-8.64,1.71,"Myaare",-1.87683867260242,6.49840762539141
8,-8.64,1.71,"Myaare",-1.95492746737436,6.50496085466961
9,-8.64,1.71,"Myaare",-2.0238066386442,6.51068087987064
10,-8.64,1.71,"Myaare",-2.08542113773007,6.51575063492905
1,-9.75,2.23,"Myaare",-0.0688172878992777,5.40039774580232
2,-9.75,2.23,"Myaare",-0.379651225544284,5.43073384426063
3,-9.75,2.23,"Myaare",-0.561476012472262,5.44757226423105
4,-9.75,2.23,"Myaare",-0.690482360370312,5.45914711264765
5,-9.75,2.23,"Myaare",-0.790547293701321,5.46792392721186
6,-9.75,2.23,"Myaare",-0.872306213038788,5.47496974072211
7,-9.75,2.23,"Myaare",-0.941432345358803,5.4808417217127
8,-9.75,2.23,"Myaare",-1.00131209381621,5.48586684371526
9,-9.75,2.23,"Myaare",-1.05412975429668,5.49025305138063
10,-9.75,2.23,"Myaare",-1.10137674686924,5.494140621403
1,-10.93,2.37,"Myaare",0.433138163706587,5.57927720385619
2,-10.93,2.37,"Myaare",0.140665724487868,5.6078212964984
3,-10.93,2.37,"Myaare",-0.0304183577270653,5.62366504187141
4,-10.93,2.37,"Myaare",-0.151804077479239,5.63455614396804
5,-10.93,2.37,"Myaare",-0.245958002090273,5.64281449691243
6,-10.93,2.37,"Myaare",-0.322887280622995,5.64944410202967
7,-10.93,2.37,"Myaare",-0.387930012721574,5.65496921494486
8,-10.93,2.37,"Myaare",-0.444272560848168,5.65969749429748
9,-10.93,2.37,"Myaare",-0.493970190751725,5.6638246010881
10,-10.93,2.37,"Myaare",-0.538426221737727,5.66748252562392
1,-8.64,1.71,"Myaare",-0.738866989482683,6.39350115388256
2,-8.64,1.71,"Myaare",-1.14422352804898,6.43306226473755
3,-8.64,1.71,"Myaare",-1.38134006304862,6.45502113990365
4,-8.64,1.71,"Myaare",-1.54957641147707,6.47011582526565
5,-8.64,1.71,"Myaare",-1.68007044734149,6.4815616126798
6,-8.64,1.71,"Myaare",-1.78669172811491,6.49075001275457
7,-8.64,1.71,"Myaare",-1.87683867260242,6.49840762539141
8,-8.64,1.71,"Myaare",-1.95492746737436,6.50496085466961
9,-8.64,1.71,"Myaare",-2.0238066386442,6.51068087987064
10,-8.64,1.71,"Myaare",-2.08542113773007,6.51575063492905
1,-9.75,2.23,"Myaare",-0.0688172878992777,5.40039774580232
2,-9.75,2.23,"Myaare",-0.379651225544284,5.43073384426063
3,-9.75,2.23,"Myaare",-0.561476012472262,5.44757226423105
4,-9.75,2.23,"Myaare",-0.690482360370312,5.45914711264765
5,-9.75,2.23,"Myaare",-0.790547293701321,5.46792392721186
6,-9.75,2.23,"Myaare",-0.872306213038788,5.47496974072211
7,-9.75,2.23,"Myaare",-0.941432345358803,5.4808417217127
8,-9.75,2.23,"Myaare",-1.00131209381621,5.48586684371526
9,-9.75,2.23,"Myaare",-1.05412975429668,5.49025305138063
10,-9.75,2.23,"Myaare",-1.10137674686924,5.494140621403
1,-10.93,2.37,"Myaare",0.433138163706587,5.57927720385619
2,-10.93,2.37,"Myaare",0.140665724487868,5.6078212964984
3,-10.93,2.37,"Myaare",-0.0304183577270653,5.62366504187141
4,-10.93,2.37,"Myaare",-0.151804077479239,5.63455614396804
5,-10.93,2.37,"Myaare",-0.245958002090273,5.64281449691243
6,-10.93,2.37,"Myaare",-0.322887280622995,5.64944410202967
7,-10.93,2.37,"Myaare",-0.387930012721574,5.65496921494486
8,-10.93,2.37,"Myaare",-0.444272560848168,5.65969749429748
9,-10.93,2.37,"Myaare",-0.493970190751725,5.6638246010881
10,-10.93,2.37,"Myaare",-0.538426221737727,5.66748252562392
1,-8.64,1.71,"Myaare",-0.738866989482683,6.39350115388256
2,-8.64,1.71,"Myaare",-1.14422352804898,6.43306226473755
3,-8.64,1.71,"Myaare",-1.38134006304862,6.45502113990365
4,-8.64,1.71,"Myaare",-1.54957641147707,6.47011582526565
5,-8.64,1.71,"Myaare",-1.68007044734149,6.4815616126798
6,-8.64,1.71,"Myaare",-1.78669172811491,6.49075001275457
7,-8.64,1.71,"Myaare",-1.87683867260242,6.49840762539141
8,-8.64,1.71,"Myaare",-1.95492746737436,6.50496085466961
9,-8.64,1.71,"Myaare",-2.0238066386442,6.51068087987064
10,-8.64,1.71,"Myaare",-2.08542113773007,6.51575063492905
1,-9.75,2.23,"Myaare",-0.0688172878992777,5.40039774580232
2,-9.75,2.23,"Myaare",-0.379651225544284,5.43073384426063
3,-9.75,2.23,"Myaare",-0.561476012472262,5.44757226423105
4,-9.75,2.23,"Myaare",-0.690482360370312,5.45914711264765
5,-9.75,2.23,"Myaare",-0.790547293701321,5.46792392721186
6,-9.75,2.23,"Myaare",-0.872306213038788,5.47496974072211
7,-9.75,2.23,"Myaare",-0.941432345358803,5.4808417217127
8,-9.75,2.23,"Myaare",-1.00131209381621,5.48586684371526
9,-9.75,2.23,"Myaare",-1.05412975429668,5.49025305138063
10,-9.75,2.23,"Myaare",-1.10137674686924,5.494140621403
1,-10.93,2.37,"Myaare",0.433138163706587,5.57927720385619
2,-10.93,2.37,"Myaare",0.140665724487868,5.6078212964984
3,-10.93,2.37,"Myaare",-0.0304183577270653,5.62366504187141
4,-10.93,2.37,"Myaare",-0.151804077479239,5.63455614396804
5,-10.93,2.37,"Myaare",-0.245958002090273,5.64281449691243
6,-10.93,2.37,"Myaare",-0.322887280622995,5.64944410202967
7,-10.93,2.37,"Myaare",-0.387930012721574,5.65496921494486
8,-10.93,2.37,"Myaare",-0.444272560848168,5.65969749429748
9,-10.93,2.37,"Myaare",-0.493970190751725,5.6638246010881
10,-10.93,2.37,"Myaare",-0.538426221737727,5.66748252562392
1,-8.64,1.71,"Myaare",-0.738866989482683,6.39350115388256
2,-8.64,1.71,"Myaare",-1.14422352804898,6.43306226473755
3,-8.64,1.71,"Myaare",-1.38134006304862,6.45502113990365
4,-8.64,1.71,"Myaare",-1.54957641147707,6.47011582526565
5,-8.64,1.71,"Myaare",-1.68007044734149,6.4815616126798
6,-8.64,1.71,"Myaare",-1.78669172811491,6.49075001275457
7,-8.64,1.71,"Myaare",-1.87683867260242,6.49840762539141
8,-8.64,1.71,"Myaare",-1.95492746737436,6.50496085466961
9,-8.64,1.71,"Myaare",-2.0238066386442,6.51068087987064
10,-8.64,1.71,"Myaare",-2.08542113773007,6.51575063492905
1,-9.75,2.23,"Myaare",-0.0688172878992777,5.40039774580232
2,-9.75,2.23,"Myaare",-0.379651225544284,5.43073384426063
3,-9.75,2.23,"Myaare",-0.561476012472262,5.44757226423105
4,-9.75,2.23,"Myaare",-0.690482360370312,5.45914711264765
5,-9.75,2.23,"Myaare",-0.790547293701321,5.46792392721186
6,-9.75,2.23,"Myaare",-0.872306213038788,5.47496974072211
7,-9.75,2.23,"Myaare",-0.941432345358803,5.4808417217127
8,-9.75,2.23,"Myaare",-1.00131209381621,5.48586684371526
9,-9.75,2.23,"Myaare",-1.05412975429668,5.49025305138063
10,-9.75,2.23,"Myaare",-1.10137674686924,5.494140621403
1,-10.93,2.37,"Myaare",0.433138163706587,5.57927720385619
2,-10.93,2.37,"Myaare",0.140665724487868,5.6078212964984
3,-10.93,2.37,"Myaare",-0.0304183577270653,5.62366504187141
4,-10.93,2.37,"Myaare",-0.151804077479239,5.63455614396804
5,-10.93,2.37,"Myaare",-0.245958002090273,5.64281449691243
6,-10.93,2.37,"Myaare",-0.322887280622995,5.64944410202967
7,-10.93,2.37,"Myaare",-0.387930012721574,5.65496921494486
8,-10.93,2.37,"Myaare",-0.444272560848168,5.65969749429748
9,-10.93,2.37,"Myaare",-0.493970190751725,5.6638246010881
10,-10.93,2.37,"Myaare",-0.538426221737727,5.66748252562392
1,-8.64,1.71,"Myaare",-0.738866989482683,6.39350115388256
2,-8.64,1.71,"Myaare",-1.14422352804898,6.43306226473755
3,-8.64,1.71,"Myaare",-1.38134006304862,6.45502113990365
4,-8.64,1.71,"Myaare",-1.54957641147707,6.47011582526565
5,-8.64,1.71,"Myaare",-1.68007044734149,6.4815616126798
6,-8.64,1.71,"Myaare",-1.78669172811491,6.49075001275457
7,-8.64,1.71,"Myaare",-1.87683867260242,6.49840762539141
8,-8.64,1.71,"Myaare",-1.95492746737436,6.50496085466961
9,-8.64,1.71,"Myaare",-2.0238066386442,6.51068087987064
10,-8.64,1.71,"Myaare",-2.08542113773007,6.51575063492905
1,-9.75,2.23,"Myaare",-0.0688172878992777,5.40039774580232
2,-9.75,2.23,"Myaare",-0.379651225544284,5.43073384426063
3,-9.75,2.23,"Myaare",-0.561476012472262,5.44757226423105
4,-9.75,2.23,"Myaare",-0.690482360370312,5.45914711264765
5,-9.75,2.23,"Myaare",-0.790547293701321,5.46792392721186
6,-9.75,2.23,"Myaare",-0.872306213038788,5.47496974072211
7,-9.75,2.23,"Myaare",-0.941432345358803,5.4808417217127
8,-9.75,2.23,"Myaare",-1.00131209381621,5.48586684371526
9,-9.75,2.23,"Myaare",-1.05412975429668,5.49025305138063
10,-9.75,2.23,"Myaare",-1.10137674686924,5.494140621403
1,-10.93,2.37,"Myaare",0.433138163706587,5.57927720385619
2,-10.93,2.37,"Myaare",0.140665724487868,5.6078212964984
3,-10.93,2.37,"Myaare",-0.0304183577270653,5.62366504187141
4,-10.93,2.37,"Myaare",-0.151804077479239,5.63455614396804
5,-10.93,2.37,"Myaare",-0.245958002090273,5.64281449691243
6,-10.93,2.37,"Myaare",-0.322887280622995,5.64944410202967
7,-10.93,2.37,"Myaare",-0.387930012721574,5.65496921494486
8,-10.93,2.37,"Myaare",-0.444272560848168,5.65969749429748
9,-10.93,2.37,"Myaare",-0.493970190751725,5.6638246010881
10,-10.93,2.37,"Myaare",-0.538426221737727,5.66748252562392
1,-8.64,1.71,"Myaare",-0.738866989482683,6.39350115388256
2,-8.64,1.71,"Myaare",-1.14422352804898,6.43306226473755
3,-8.64,1.71,"Myaare",-1.38134006304862,6.45502113990365
4,-8.64,1.71,"Myaare",-1.54957641147707,6.47011582526565
5,-8.64,1.71,"Myaare",-1.68007044734149,6.4815616126798
6,-8.64,1.71,"Myaare",-1.78669172811491,6.49075001275457
7,-8.64,1.71,"Myaare",-1.87683867260242,6.49840762539141
8,-8.64,1.71,"Myaare",-1.95492746737436,6.50496085466961
9,-8.64,1.71,"Myaare",-2.0238066386442,6.51068087987064
10,-8.64,1.71,"Myaare",-2.08542113773007,6.51575063492905
1,-9.75,2.23,"Myaare",-0.0688172878992777,5.40039774580232
2,-9.75,2.23,"Myaare",-0.379651225544284,5.43073384426063
3,-9.75,2.23,"Myaare",-0.561476012472262,5.44757226423105
4,-9.75,2.23,"Myaare",-0.690482360370312,5.45914711264765
5,-9.75,2.23,"Myaare",-0.790547293701321,5.46792392721186
6,-9.75,2.23,"Myaare",-0.872306213038788,5.47496974072211
7,-9.75,2.23,"Myaare",-0.941432345358803,5.4808417217127
8,-9.75,2.23,"Myaare",-1.00131209381621,5.48586684371526
9,-9.75,2.23,"Myaare",-1.05412975429668,5.49025305138063
10,-9.75,2.23,"Myaare",-1.10137674686924,5.494140621403
1,-10.93,2.37,"Myaare",0.433138163706587,5.57927720385619
2,-10.93,2.37,"Myaare",0.140665724487868,5.6078212964984
3,-10.93,2.37,"Myaare",-0.0304183577270653,5.62366504187141
4,-10.93,2.37,"Myaare",-0.151804077479239,5.63455614396804
5,-10.93,2.37,"Myaare",-0.245958002090273,5.64281449691243
6,-10.93,2.37,"Myaare",-0.322887280622995,5.64944410202967
7,-10.93,2.37,"Myaare",-0.387930012721574,5.65496921494486
8,-10.93,2.37,"Myaare",-0.444272560848168,5.65969749429748
9,-10.93,2.37,"Myaare",-0.493970190751725,5.6638246010881
10,-10.93,2.37,"Myaare",-0.538426221737727,5.66748252562392
1,-8.64,1.71,"Myaare",-0.738866989482683,6.39350115388256
2,-8.64,1.71,"Myaare",-1.14422352804898,6.43306226473755
3,-8.64,1.71,"Myaare",-1.38134006304862,6.45502113990365
4,-8.64,1.71,"Myaare",-1.54957641147707,6.47011582526565
5,-8.64,1.71,"Myaare",-1.68007044734149,6.4815616126798
6,-8.64,1.71,"Myaare",-1.78669172811491,6.49075001275457
7,-8.64,1.71,"Myaare",-1.87683867260242,6.49840762539141
8,-8.64,1.71,"Myaare",-1.95492746737436,6.50496085466961
9,-8.64,1.71,"Myaare",-2.0238066386442,6.51068087987064
10,-8.64,1.71,"Myaare",-2.08542113773007,6.51575063492905
1,-9.75,2.23,"Myaare",-0.0688172878992777,5.40039774580232
2,-9.75,2.23,"Myaare",-0.379651225544284,5.43073384426063
3,-9.75,2.23,"Myaare",-0.561476012472262,5.44757226423105
4,-9.75,2.23,"Myaare",-0.690482360370312,5.45914711264765
5,-9.75,2.23,"Myaare",-0.790547293701321,5.46792392721186
6,-9.75,2.23,"Myaare",-0.872306213038788,5.47496974072211
7,-9.75,2.23,"Myaare",-0.941432345358803,5.4808417217127
8,-9.75,2.23,"Myaare",-1.00131209381621,5.48586684371526
9,-9.75,2.23,"Myaare",-1.05412975429668,5.49025305138063
10,-9.75,2.23,"Myaare",-1.10137674686924,5.494140621403
1,-10.93,2.37,"Myaare",0.433138163706587,5.57927720385619
2,-10.93,2.37,"Myaare",0.140665724487868,5.6078212964984
3,-10.93,2.37,"Myaare",-0.0304183577270653,5.62366504187141
4,-10.93,2.37,"Myaare",-0.151804077479239,5.63455614396804
5,-10.93,2.37,"Myaare",-0.245958002090273,5.64281449691243
6,-10.93,2.37,"Myaare",-0.322887280622995,5.64944410202967
7,-10.93,2.37,"Myaare",-0.387930012721574,5.65496921494486
8,-10.93,2.37,"Myaare",-0.444272560848168,5.65969749429748
9,-10.93,2.37,"Myaare",-0.493970190751725,5.6638246010881
10,-10.93,2.37,"Myaare",-0.538426221737727,5.66748252562392
1,-8.64,1.71,"Myaare",-0.738866989482683,6.39350115388256
2,-8.64,1.71,"Myaare",-1.14422352804898,6.43306226473755
3,-8.64,1.71,"Myaare",-1.38134006304862,6.45502113990365
4,-8.64,1.71,"Myaare",-1.54957641147707,6.47011582526565
5,-8.64,1.71,"Myaare",-1.68007044734149,6.4815616126798
6,-8.64,1.71,"Myaare",-1.78669172811491,6.49075001275457
7,-8.64,1.71,"Myaare",-1.87683867260242,6.49840762539141
8,-8.64,1.71,"Myaare",-1.95492746737436,6.50496085466961
9,-8.64,1.71,"Myaare",-2.0238066386442,6.51068087987064
10,-8.64,1.71,"Myaare",-2.08542113773007,6.51575063492905
1,-9.75,2.23,"Myaare",-0.0688172878992777,5.40039774580232
2,-9.75,2.23,"Myaare",-0.379651225544284,5.43073384426063
3,-9.75,2.23,"Myaare",-0.561476012472262,5.44757226423105
4,-9.75,2.23,"Myaare",-0.690482360370312,5.45914711264765
5,-9.75,2.23,"Myaare",-0.790547293701321,5.46792392721186
6,-9.75,2.23,"Myaare",-0.872306213038788,5.47496974072211
7,-9.75,2.23,"Myaare",-0.941432345358803,5.4808417217127
8,-9.75,2.23,"Myaare",-1.00131209381621,5.48586684371526
9,-9.75,2.23,"Myaare",-1.05412975429668,5.49025305138063
10,-9.75,2.23,"Myaare",-1.10137674686924,5.494140621403
1,-10.93,2.37,"Myaare",0.433138163706587,5.57927720385619
2,-10.93,2.37,"Myaare",0.140665724487868,5.6078212964984
3,-10.93,2.37,"Myaare",-0.0304183577270653,5.62366504187141
4,-10.93,2.37,"Myaare",-0.151804077479239,5.63455614396804
5,-10.93,2.37,"Myaare",-0.245958002090273,5.64281449691243
6,-10.93,2.37,"Myaare",-0.322887280622995,5.64944410202967
7,-10.93,2.37,"Myaare",-0.387930012721574,5.65496921494486
8,-10.93,2.37,"Myaare",-0.444272560848168,5.65969749429748
9,-10.93,2.37,"Myaare",-0.493970190751725,5.6638246010881
10,-10.93,2.37,"Myaare",-0.538426221737727,5.66748252562392
1,-8.64,1.71,"Myaare",-0.738866989482683,6.39350115388256
2,-8.64,1.71,"Myaare",-1.14422352804898,6.43306226473755
3,-8.64,1.71,"Myaare",-1.38134006304862,6.45502113990365
4,-8.64,1.71,"Myaare",-1.54957641147707,6.47011582526565
5,-8.64,1.71,"Myaare",-1.68007044734149,6.4815616126798
6,-8.64,1.71,"Myaare",-1.78669172811491,6.49075001275457
7,-8.64,1.71,"Myaare",-1.87683867260242,6.49840762539141
8,-8.64,1.71,"Myaare",-1.95492746737436,6.50496085466961
9,-8.64,1.71,"Myaare",-2.0238066386442,6.51068087987064
10,-8.64,1.71,"Myaare",-2.08542113773007,6.51575063492905
1,-9.75,2.23,"Myaare",-0.0688172878992777,5.40039774580232
2,-9.75,2.23,"Myaare",-0.379651225544284,5.43073384426063
3,-9.75,2.23,"Myaare",-0.561476012472262,5.44757226423105
4,-9.75,2.23,"Myaare",-0.690482360370312,5.45914711264765
5,-9.75,2.23,"Myaare",-0.790547293701321,5.46792392721186
6,-9.75,2.23,"Myaare",-0.872306213038788,5.47496974072211
7,-9.75,2.23,"Myaare",-0.941432345358803,5.4808417217127
8,-9.75,2.23,"Myaare",-1.00131209381621,5.48586684371526
9,-9.75,2.23,"Myaare",-1.05412975429668,5.49025305138063
10,-9.75,2.23,"Myaare",-1.10137674686924,5.494140621403
1,-10.93,2.37,"Myaare",0.433138163706587,5.57927720385619
2,-10.93,2.37,"Myaare",0.140665724487868,5.6078212964984
3,-10.93,2.37,"Myaare",-0.0304183577270653,5.62366504187141
4,-10.93,2.37,"Myaare",-0.151804077479239,5.63455614396804
5,-10.93,2.37,"Myaare",-0.245958002090273,5.64281449691243
6,-10.93,2.37,"Myaare",-0.322887280622995,5.64944410202967
7,-10.93,2.37,"Myaare",-0.387930012721574,5.65496921494486
8,-10.93,2.37,"Myaare",-0.444272560848168,5.65969749429748
9,-10.93,2.37,"Myaare",-0.493970190751725,5.6638246010881
10,-10.93,2.37,"Myaare",-0.538426221737727,5.66748252562392
