"replicates","intercept","slope","Species","C_th","C_th_up"
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
3,-10.97,2.34,"Karmik",-0.0137143195782666,5.71285732873301
4,-10.97,2.34,"Karmik",-0.13665626650675,5.7238880603437
5,-10.97,2.34,"Karmik",-0.232017292715362,5.73225228960789
6,-10.97,2.34,"Karmik",-0.309932844049785,5.73896688966253
7,-10.97,2.34,"Karmik",-0.375809457329116,5.74456283735868
8,-10.97,2.34,"Karmik",-0.432874345816306,5.74935173567737
9,-10.97,2.34,"Karmik",-0.483209124821192,5.75353175409351
10,-10.97,2.34,"Karmik",-0.528235104922399,5.75723657509773
1,-11.58,2.37,"Karmik",0.707399767082114,5.85353880723172
2,-11.58,2.37,"Karmik",0.414927327863395,5.88208289987393
3,-11.58,2.37,"Karmik",0.243843245648462,5.89792664524694
4,-11.58,2.37,"Karmik",0.122457525896288,5.90881774734357
5,-11.58,2.37,"Karmik",0.0283036012852546,5.91707610028795
6,-11.58,2.37,"Karmik",-0.0486256772474671,5.92370570540519
7,-11.58,2.37,"Karmik",-0.113668409346047,5.92923081832038
8,-11.58,2.37,"Karmik",-0.17001095747264,5.93395909767301
9,-11.58,2.37,"Karmik",-0.219708587376198,5.93808620446363
10,-11.58,2.37,"Karmik",-0.2641646183622,5.94174412899944
1,-10.97,2.34,"Karmik",0.455785234181458,5.66790041587144
2,-10.97,2.34,"Karmik",0.159563148306089,5.69681045841932
