"","Well","MST_sample_number","spcabbr","conc_copies_per_uL","Accepted_Droplets","Positives","Negatives","Tot_drop","init_concentration","ddpcrno","Bemaerkn","conc_qubit_ng_uL","Dato.for.ekstraktion","dato_80C","Dato_for_indsml","Dato_inds","Dyb_lagd01","Dyb_Str_m","Ekstraktionsnummer","Elueringvolumen.AE.buffer.uL","Inst","lokalitet_vanda","Lok_omr01","lok_pos_lat","lok_pos_lon","max_Dyb","MST.nummer","MST.n_Dinds","MSTno_di","MST_STEXno","Navn_Inds","Noter2","skib","smplNoSTEX","Sub_Nmb_for_extraction","Temp_Inds","U_Pr_Nr","vandsoejllagd","Vwf_mL","wdt","smpl_day","smpl_mnt","smpl_yea","Total_drop","Species","WellType","Conc","st_idx","species_idx","sp_st_idx","pres"
"1","A02","MST1039","Myaare",1.58200085163116,18604,25,18579,18604,NA,"ddpcr0015",NA,13.6,"2022-feb-01","2021-05-03","2021-04-26","2021-04-26","na",1,"MST-SX25",400,"MST_MJL",91320001,"RKB1",56.0778333333333,8.21670555555556,32,"MST1039","MST1039_2021-04-26","MST1039::2021-04-26","MST1039STEX25_19","JettePoulsenEngholm",NA,"Penelope",NA,"25_19",95,"MST1039","nej",570,FALSE,26,4,2021,18604,"Myaare","Unknown",1.58200085163116,7,13,583,1
"2","A03","MST2021049","Myaare",44.8007469177246,17182,642,16540,17182,NA,"ddpcr0015","LISD0027",7.75,"2022-jan-06","2021-05-21","2021-05-21","2021-05-21",NA,10,"MST-SX23",400,"Sydjylland",91650035,"ListerDyb",55.0938666666667,8.56828611111111,11,"MST2021049","MST2021049_2021-05-21","MST2021049::2021-05-21","MST2021049STEX23_10","LasseoerstedJensen",NA,"Fucus","MST2021049STEX23_10","23_10",11,"MST2021049","nej",500,FALSE,21,5,2021,17182,"Myaare","Unknown",44.8007469177246,29,13,605,1
"3","A04","MST2021012","Myaare",8.12683391571045,20337,140,20197,20337,NA,"ddpcr0015",NA,11,"2022-feb-01","2021-05-03","2021-04-27","2021-04-27","na",59,"MST-SX25",400,"MSTSYD",95130028,"VejleFjordindre_VF",55.7021833333333,9.66136111111111,69,"MST2021012","MST2021012_2021-04-27","MST2021012::2021-04-27","MST2021012STEX25_12","KRISTIANMCGREGOR",NA,"LIVII","MST2021012STEX25_12","25_12",81.7,"MST2021012","nej",1500,TRUE,27,4,2021,20337,"Myaare","Unknown",8.12683391571045,15,13,591,1
"4","A05","MST2021058","Myaare",0,19403,0,19403,19403,NA,"ddpcr0015",NA,3.7,"2021-nov-24","2021-09-03","2021-08-30","2021-08-30","17",1,"MST-SX21",400,"MSTOJL",94300001,"94300001_VEJ0006870",55.6743833333333,10.0845083333333,194,"MST2021058","MST2021058_2021-08-30","MST2021058::2021-08-30","MST2021058STEX21_13","KRISTIANMCGREGOR",NA,"Frigg","MST2021058STEX21_13","21_13",100.7,"MST2021058","ja",1500,FALSE,30,8,2021,19403,"Myaare","Unknown",0,33,13,609,0
"5","A06","MST2021039","Myaare",0.11784739792347,19967,2,19965,19967,NA,"ddpcr0015",NA,2.72,"2021-dec-08","2021-05-20","2021-05-07","2021-05-07","7m",1,"MST-SX22",400,"MST_NJL",93610032,"MariagerFjord",56.6626666666667,9.96678333333333,27,"MST2021039","MST2021039_2021-05-07","MST2021039::2021-05-07","MST2021039STEX22_08","PHELD_ALKRI",NA,"Sif","MST2021039STEX22_08","22_08",92.8,"MST2021039","ja",1800,FALSE,7,5,2021,19967,"Myaare","Unknown",0.11784739792347,25,13,601,1
"6","A07","MST2021043","Myaare",0,17860,0,17860,17860,NA,"ddpcr0015","Dererkunenproevetilraadighed_proeve2erbortkommet",4.41,"2021-dec-08","2021-05-20","2021-05-17","2021-05-17","4",1,"MST-SX22",400,"MSTSJL",93000001,"VSJ20925",56.1316666666667,11.1513361111111,48,"MST2021043","MST2021043_2021-05-17","MST2021043::2021-05-17","MST2021043STEX22_10","alkri_nifso",NA,"Sif","MST2021043STEX22_10","22_10",10.6,"MST2021043","ja",1500,FALSE,17,5,2021,17860,"Myaare","Unknown",0,27,13,603,0
"7","B02","MST2021015","Myaare",1.99581551551819,18879,32,18847,18879,NA,"ddpcr0015",NA,5.4,"2021-nov-24","2021-09-08","2021-09-02","2021-09-02","na",1,"MST-SX21",400,"MST_MJL",91320001,"RKB1",56.0778333333333,8.21678611111111,32,"MST2021015","MST2021015_2021-09-02","MST2021015::2021-09-02","MST2021015STEX21_03","BentJensen",NA,"Penelope","MST2021015STEX21_03","21_03",17.5,"MST2021015","nej",925,TRUE,2,9,2021,18879,"Myaare","Unknown",1.99581551551819,17,13,593,1
"8","B03","MST2021052","Myaare",0.643681287765503,16454,9,16445,16454,NA,"ddpcr0015",NA,8.95,"2021-nov-24","2021-06-15","2021-06-14","2021-06-14","26",1,"MST-SX21",400,"Fyn",94230001,"FYN6900017",55.4678333333333,10.5169333333333,84,"MST2021052","MST2021052_2021-06-14","MST2021052::2021-06-14","MST2021052STEX21_10","FlemmingNoergaard",NA,"Belone","MST2021052STEX21_10","21_10",17.8,"MST2021052","ja",610,FALSE,14,6,2021,16454,"Myaare","Unknown",0.643681287765503,31,13,607,1
"9","B04","MST2021075","Myaare",0,20118,0,20118,20118,NA,"ddpcr0015",NA,4.86,"2021-dec-08","2021-05-20","2021-05-11","2021-05-11","13",1,"MST-SX22",400,"MSTOJL",94300001,"VEJ0006870_94300001",55.6743833333333,10.0845083333333,21,"MST2021075","MST2021075_2021-05-11","MST2021075::2021-05-11","MST2021075STEX22_13","janeRobertsen",NA,"Frigg","MST2021075STEX22_13","22_13",98.1,"MST2021075","ja",1100,FALSE,11,5,2021,20118,"Myaare","Unknown",0,38,13,614,0
"10","B05","MST2021064","Myaare",0,20379,0,20379,20379,NA,"ddpcr0015","Breddegrad:56572400",2.96,"2021-nov-24","2021-09-08","2021-09-02","2021-09-02","na",1,"MST-SX21",400,"MSTNJL",93730002,"93730002_VIB3708_1",56.954,9.05020833333333,76,"MST2021064","MST2021064_2021-09-02","MST2021064::2021-09-02","MST2021064STEX21_15","kristianmcgregor",NA,"Frigg","MST2021064STEX21_15","21_15",173.7,"MST2021064","nej",700,FALSE,2,9,2021,20379,"Myaare","Unknown",0,35,13,611,0
